ikan_id,nama_ikan,ph_min,ph_maks,suhu_min,suhu_maks,contradiction,harga
1,Guppy,6.8,7.8,24,28,"{5,20}",6000
2,Platy,7,8,20,28,"{5,20}",10000
3,Molly,7.5,8.5,24,28,"{5,20}",12500
4,Cupang,6,7.5,24,28,0,30000
5,Neon Tetra,5.5,7.5,22,26,"{5,13,20}",10000
6,Swordtail,7,8.4,22,28,"{5,20}",12500
7,Angelfish,6.8,7.8,24,30,"{5,20}",60000
8,TIger Barb,6,7.5,24,28,"{5,20}",12500
9,Gourami,6,7.5,24,28,"{5,20}",17500
10,Discus,6,7.5,26,30,"{4,5,18,20}",300000
11,Ikan Mas,6,8,10,23,"{5,20}",55000
12,Rasbora,6,7.5,22,28,"{5,20}",10000
13,Bala Shark,6.5,8,24,28,"{5,18}",60000
14,Cherry Barb,6,7.5,22,26,"{5,20}",12500
15,Corydoras Catfish,6,7.8,22,26,"{5,20}",20000
16,Sapu-sapu,6.5,7.5,24,28,"{5,20}",60000
17,Harlequin Rasbora,6,7.8,22,28,"{5,20}",12500
18,Cardinal Tetra,4,6.5,22,26,"{5,13,20}",10000
19,Black Molly,7.5,8.5,24,28,"{5,20}",10000
20,Cupang Petarung Siam,6,7.5,24,28,0,30000
21,Pearl Gourami,6,7.5,24,28,"{5,20}",60000
22,Kuhli Loach,4,7,24,28,"{5,20}",20000
23,Rainbow Shark,6.5,7.5,24,28,"{5,20}",30000
24,Koi,7,8.5,15,25,"{5,20}",500000
25,Zebra Danio,6.5,7.5,18,24,"{5,20}",10000
26,Mas Koki,6.8,8,18,25,"{5,20}",30000
